,USDA Symbol,URLS,COUNT,Source,Scientific Name,Common Name,String
60,AQCA,"https://archewild.com/, https://bbgardens.org/, https://bhwp.org/grow/native-plant-nursery/, http://www.butterflyoasis.net/, https://calyxnativenursery.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://www.diakon.org/wilderness-greenhouse/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.northbrooknatives.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, www.facebook.com/recreativenatives/, https://redbudnative.com/, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com",20,"Archewild Quakertown, Birmingham Botanical Gardens, Bowman's New Hope, Butterfly Oasis Lancaster, Calyx Native Nursery, David Brothers Norristown, Diakon Boiling Springs, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Overhill Gardens, Perennial Gardens New Bloomfield, Recreative Natives, Redbud Media, Superior Trees, Tait Farm",Aquilegia canadensis,Red Columbine,"Red Columbine (Aquilegia canadensis): Archewild Quakertown, Birmingham Botanical Gardens, Bowman's New Hope, Butterfly Oasis Lancaster, Calyx Native Nursery, David Brothers Norristown, Diakon Boiling Springs, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Overhill Gardens, Perennial Gardens New Bloomfield, Recreative Natives, Redbud Media, Superior Trees, Tait Farm"
61,AQCO,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Aquilegia coerulea,Colorado Blue Columbine,"Colorado Blue Columbine (Aquilegia coerulea): GroWild, Overhill Gardens"
62,AQFL,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Aquilegia flavescens,Yellow Columbine,"Yellow Columbine (Aquilegia flavescens): GroWild, Overhill Gardens"
63,ARAR7,"https://arcadianatives.com/, https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, https://brucenurseries.com/native-plants/, http://www.butterflyoasis.net/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.heartwoodnurseryinc.com, https://www.meadowsweetnative.com, http://www.perennialgardens.name, https://redbudnative.com/, http://www.superiortrees.net",16,"Arcadia Natives Washington, Archewild Quakertown, Bowman's New Hope, Bruce Nursery, Butterfly Oasis Lancaster, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Go Native Trees, Heartwood Felton, Meadowsweet Native York, Perennial Gardens New Bloomfield, Redbud Media, Superior Trees",Aronia arbutifolia,Red Chokeberry,"Red Chokeberry (Aronia arbutifolia): Arcadia Natives Washington, Archewild Quakertown, Bowman's New Hope, Bruce Nursery, Butterfly Oasis Lancaster, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Go Native Trees, Heartwood Felton, Meadowsweet Native York, Perennial Gardens New Bloomfield, Redbud Media, Superior Trees"
64,ARAT,"https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",6,"Gino's Newtown, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media, Tait Farm",Arnoglossum atriplicifolium,Pale Indian Plantain,"Pale Indian Plantain (Arnoglossum atriplicifolium): Gino's Newtown, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media, Tait Farm"
65,ARDI8,"http://www.butterflyoasis.net/, https://www.diakon.org/wilderness-greenhouse/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://redbudnative.com/",6,"Butterfly Oasis Lancaster, Diakon Boiling Springs, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Redbud Media",Aruncus dioicus,Bride'S Feathers,"Bride'S Feathers (Aruncus dioicus): Butterfly Oasis Lancaster, Diakon Boiling Springs, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Redbud Media"
66,ARDR3,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Arisaema dracontium,Green Dragon,"Green Dragon (Arisaema dracontium): GroWild, Overhill Gardens"
67,ARDR4,http://foxhillgardens.com,1,Fox Hill Gardens,Artemisia dracunculus,Tarragon,Tarragon (Artemisia dracunculus): Fox Hill Gardens
68,ARGI,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html",2,"GroWild, Overhill Gardens",Arundinaria gigantea,Giant Cane,"Giant Cane (Arundinaria gigantea): GroWild, Overhill Gardens"
69,ARLA,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Arabis laevigata,Smooth Rockcress,Smooth Rockcress (Arabis laevigata): Hungry Hook Bainbridge
70,ARLU,http://foxhillgardens.com,1,Fox Hill Gardens,Artemisia ludoviciana,White Sagebrush,White Sagebrush (Artemisia ludoviciana): Fox Hill Gardens
71,ARMA7,"https://calyxnativenursery.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://redbudnative.com/, http://www.superiortrees.net",4,"Calyx Native Nursery, David Brothers Norristown, Redbud Media, Superior Trees",Aristolochia macrophylla,Pipevine,"Pipevine (Aristolochia macrophylla): Calyx Native Nursery, David Brothers Norristown, Redbud Media, Superior Trees"
72,ARME6,"https://arcadianatives.com/, https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, http://www.butterflyoasis.net/, https://calyxnativenursery.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://hilltophollowfarm.com/, https://www.meadowsweetnative.com, https://www.musserforests.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",20,"Arcadia Natives Washington, Archewild Quakertown, Bowman's New Hope, Butterfly Oasis Lancaster, Calyx Native Nursery, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Hilltop Hollow Farm, Meadowsweet Native York, Musser Forests Indiana, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Tait Farm",Aronia melanocarpa,Black Chokeberry,"Black Chokeberry (Aronia melanocarpa): Arcadia Natives Washington, Archewild Quakertown, Bowman's New Hope, Butterfly Oasis Lancaster, Calyx Native Nursery, David Brothers Norristown, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Hilltop Hollow Farm, Meadowsweet Native York, Musser Forests Indiana, Overhill Gardens, Perennial Gardens New Bloomfield, Redbud Media, Tait Farm"
73,ARNU2,http://foxhillgardens.com,1,Fox Hill Gardens,Aralia nudicaulis,Wild Sarsaparilla,Wild Sarsaparilla (Aralia nudicaulis): Fox Hill Gardens
74,ARPR2,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Aronia Ã—prunifolia,Purple Chokeberry,Purple Chokeberry (Aronia Ã—prunifolia): Hungry Hook Bainbridge
75,ARPU8,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Aristida purpurascens,Arrowfeather Threeawn,Arrowfeather Threeawn (Aristida purpurascens): Hungry Hook Bainbridge
76,ARRA,"https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/",5,"Gino's Newtown, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media",Aralia racemosa,American Spikenard,"American Spikenard (Aralia racemosa): Gino's Newtown, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media"
77,ARRE6,https://calyxnativenursery.com/,1,Calyx Native Nursery,Arnoglossum reniforme,Great Indian Plantain,Great Indian Plantain (Arnoglossum reniforme): Calyx Native Nursery
78,ARSP2,"https://www.growildinc.com, https://www.heartwoodnurseryinc.com, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/, http://www.superiortrees.net",5,"GroWild, Heartwood Felton, Overhill Gardens, Redbud Media, Superior Trees",Aralia spinosa,Devil'S Walkingstick,"Devil'S Walkingstick (Aralia spinosa): GroWild, Heartwood Felton, Overhill Gardens, Redbud Media, Superior Trees"
79,ARST5,http://www.superiortrees.net,1,Superior Trees,Aristida stricta,Pineland Threeawn,Pineland Threeawn (Aristida stricta): Superior Trees
80,ARTO3,"https://www.growildinc.com, https://www.overhillgardens.com/native-plants.html, www.facebook.com/recreativenatives/, http://www.superiortrees.net",4,"GroWild, Overhill Gardens, Recreative Natives, Superior Trees",Aristolochia tomentosa,Woolly Dutchman'S Pipe,"Woolly Dutchman'S Pipe (Aristolochia tomentosa): GroWild, Overhill Gardens, Recreative Natives, Superior Trees"
81,ARTR,"http://www.butterflyoasis.net/, https://www.diakon.org/wilderness-greenhouse/, http://foxhillgardens.com, https://www.ginosnursery.com/, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://redbudnative.com/",7,"Butterfly Oasis Lancaster, Diakon Boiling Springs, Fox Hill Gardens, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia, Redbud Media",Arisaema triphyllum,Jack In The Pulpit,"Jack In The Pulpit (Arisaema triphyllum): Butterfly Oasis Lancaster, Diakon Boiling Springs, Fox Hill Gardens, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia, Redbud Media"
82,ARUV,"https://calyxnativenursery.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://edgeofthewoodsnursery.com/, https://www.ginosnursery.com/",4,"Calyx Native Nursery, David Brothers Norristown, Edge of the Woods Orefield, Gino's Newtown",Arctostaphylos uva-ursi,Kinnikinnick,"Kinnikinnick (Arctostaphylos uva-ursi): Calyx Native Nursery, David Brothers Norristown, Edge of the Woods Orefield, Gino's Newtown"
83,ASCA,"https://archewild.com/, https://bbgardens.org/, https://bhwp.org/grow/native-plant-nursery/, http://www.butterflyoasis.net/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.growildinc.com, https://hilltophollowfarm.com/, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, https://www.taitfarmfoodslocal.com",14,"Archewild Quakertown, Birmingham Botanical Gardens, Bowman's New Hope, Butterfly Oasis Lancaster, David Brothers Norristown, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hilltop Hollow Farm, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Tait Farm",Asarum canadense,Canadian Wildginger,"Canadian Wildginger (Asarum canadense): Archewild Quakertown, Birmingham Botanical Gardens, Bowman's New Hope, Butterfly Oasis Lancaster, David Brothers Norristown, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Hilltop Hollow Farm, Hungry Hook Bainbridge, Keystone Robesonia, Overhill Gardens, Tait Farm"
84,ASCA11,http://www.hungryhookfarm.com/,1,Hungry Hook Bainbridge,Astragalus canadensis,Canadian Milkvetch,Canadian Milkvetch (Astragalus canadensis): Hungry Hook Bainbridge
85,ASEX,"http://www.hungryhookfarm.com/, https://www.taitfarmfoodslocal.com",2,"Hungry Hook Bainbridge, Tait Farm",Asclepias exaltata,Poke Milkweed,"Poke Milkweed (Asclepias exaltata): Hungry Hook Bainbridge, Tait Farm"
86,ASIN,"https://archewild.com/, https://bbgardens.org/, https://bhwp.org/grow/native-plant-nursery/, http://www.butterflyoasis.net/, https://www.diakon.org/wilderness-greenhouse/, https://edgeofthewoodsnursery.com/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.goodhostplants.com/plant-availability/, https://www.growildinc.com, https://www.hannasgardenshop.com/, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.northbrooknatives.com/, https://www.overhillgardens.com/native-plants.html, www.facebook.com/recreativenatives/, https://redbudnative.com/, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com",20,"Archewild Quakertown, Birmingham Botanical Gardens, Bowman's New Hope, Butterfly Oasis Lancaster, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Good Host Plants Philly, GroWild, Hanna's Garden Shop, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Overhill Gardens, Recreative Natives, Redbud Media, Superior Trees, Tait Farm",Asclepias incarnata,Swamp Milkweed,"Swamp Milkweed (Asclepias incarnata): Archewild Quakertown, Birmingham Botanical Gardens, Bowman's New Hope, Butterfly Oasis Lancaster, Diakon Boiling Springs, Edge of the Woods Orefield, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, Good Host Plants Philly, GroWild, Hanna's Garden Shop, Hungry Hook Bainbridge, Keystone Robesonia, Northbrook Natives Kennet Square, Overhill Gardens, Recreative Natives, Redbud Media, Superior Trees, Tait Farm"
87,ASPE,http://www.superiortrees.net,1,Superior Trees,Asclepias perennis,Aquatic Milkweed,Aquatic Milkweed (Asclepias perennis): Superior Trees
88,ASPU2,"https://archewild.com/, http://www.butterflyoasis.net/, https://www.ginosnursery.com/, https://www.growildinc.com, http://www.hungryhookfarm.com/, https://www.overhillgardens.com/native-plants.html, https://redbudnative.com/",7,"Archewild Quakertown, Butterfly Oasis Lancaster, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media",Asclepias purpurascens,Purple Milkweed,"Purple Milkweed (Asclepias purpurascens): Archewild Quakertown, Butterfly Oasis Lancaster, Gino's Newtown, GroWild, Hungry Hook Bainbridge, Overhill Gardens, Redbud Media"
89,ASRU,https://www.keystonewildflowers.com/,1,Keystone Robesonia,Asclepias rubra,Red Milkweed,Red Milkweed (Asclepias rubra): Keystone Robesonia
90,ASSY,"https://archewild.com/, https://bhwp.org/grow/native-plant-nursery/, http://www.butterflyoasis.net/, https://calyxnativenursery.com/, http://foxhillgardens.com, http://friendshipfarms.com/native-plant-nursery/indigenous-sw-pa-plants/, https://www.ginosnursery.com/, https://www.growildinc.com, https://www.keystonewildflowers.com/, https://www.overhillgardens.com/native-plants.html, http://www.perennialgardens.name, www.facebook.com/recreativenatives/, https://redbudnative.com/, https://www.taitfarmfoodslocal.com",14,"Archewild Quakertown, Bowman's New Hope, Butterfly Oasis Lancaster, Calyx Native Nursery, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Keystone Robesonia, Overhill Gardens, Perennial Gardens New Bloomfield, Recreative Natives, Redbud Media, Tait Farm",Asclepias syriaca,Common Milkweed,"Common Milkweed (Asclepias syriaca): Archewild Quakertown, Bowman's New Hope, Butterfly Oasis Lancaster, Calyx Native Nursery, Fox Hill Gardens, Friendship Farms Latrobe, Gino's Newtown, GroWild, Keystone Robesonia, Overhill Gardens, Perennial Gardens New Bloomfield, Recreative Natives, Redbud Media, Tait Farm"
91,ASTR,"https://archewild.com/, https://calyxnativenursery.com/, https://www.davidbrothers.com/native-plant-nursery-in-worcester-pennsylvania, https://www.ginosnursery.com/, https://www.gonativetrees.com/, https://www.growildinc.com, https://www.heartwoodnurseryinc.com, http://www.hungryhookfarm.com/, https://www.keystonewildflowers.com/, https://www.meadowsweetnative.com, https://www.musserforests.com/, https://www.overhillgardens.com/native-plants.html, www.facebook.com/recreativenatives/, https://redbudnative.com/, http://ruffnermountain.org/, http://www.superiortrees.net, https://www.taitfarmfoodslocal.com",17,"Archewild Quakertown, Calyx Native Nursery, David Brothers Norristown, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Hungry Hook Bainbridge, Keystone Robesonia, Meadowsweet Native York, Musser Forests Indiana, Overhill Gardens, Recreative Natives, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm",Asimina triloba,Pawpaw,"Pawpaw (Asimina triloba): Archewild Quakertown, Calyx Native Nursery, David Brothers Norristown, Gino's Newtown, Go Native Trees, GroWild, Heartwood Felton, Hungry Hook Bainbridge, Keystone Robesonia, Meadowsweet Native York, Musser Forests Indiana, Overhill Gardens, Recreative Natives, Redbud Media, Ruffner Mountain Nature Preserve, Superior Trees, Tait Farm"
